

Phone powered on Date =1970-03-21-12:59:06.395776
Phone Up Time(Seconds) =123
Phone Flash Version =payton-userdebug 7.1.1 NPW26.83-29 86 intcfg,test-keys
Phone boot mode =normal

TimeStamp,UpTime,dc_current_max,dc_online,dc_voltage_now,dc_present,bms_temp,bms_constant_charge_voltage,bms_charge_now_raw,bms_resistance,bms_charge_full_design,bms_current_now,bms_charge_now,bms_soc_reporting_ready,bms_charge_full,bms_capacity,bms_voltage_max_design,bms_debug_battery,bms_charge_counter,bms_voltage_ocv,bms_voltage_now,bms_battery_type,bms_cycle_count,bms_time_to_full_avg,bms_time_to_empty_avg,bms_resistance_id,bms_cycle_count_id,usb_real_type,usb_boost_current,usb_hw_current_max,usb_system_temp_level,usb_pd_current_max,usb_input_current_settled,usb_current_max,usb_typec_power_role,usb_num_system_temp_levels,usb_typec_mode,usb_input_current_now,usb_online,usb_voltage_max,usb_voltage_min,usb_voltage_now,usb_pe_start,usb_typec_cc_orientation,usb_pd_allowed,usb_pd_active,usb_ctm_current_max,usb_pr_swap,usb_present,main_fcc_delta,main_input_current_settled,main_current_max,main_input_voltage_settled,main_constant_charge_current_max,main_voltage_max,usbeb_current_max,usbeb_online,usbeb_present,wireless_system_temp_level,wireless_current_max,wireless_num_system_temp_levels,wireless_online,wireless_present,battery_age,battery_temp,battery_voltage_qnovo,battery_step_charging_step,battery_dp_dm,battery_charger_temp_max,battery_battery_charging_enabled,battery_input_suspend,battery_system_temp_level,battery_set_ship_mode,battery_rerun_aicl,battery_charger_temp,battery_input_current_limited,battery_current_now,battery_parallel_disable,battery_charge_done,battery_charge_rate,battery_charge_type,battery_capacity,battery_health,battery_num_system_temp_levels,battery_constant_charge_current_max,battery_status,battery_voltage_max,battery_voltage_now,battery_die_health,battery_technology,battery_step_charging_enabled,battery_present,battery_current_qnovo,pc_port_online,
1970-03-21-12:59:06.732184,123,500000,0,0,0,270,4389899,-111722,164306,3039000,231933,0,1,3039000,100,4400000,0,2363463,4356452,4330067,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),409799,0,5000000,5000000,4921875,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,1,0,812,1,0,0,0,0,377,1,231933,0,0,Normal,Fast,100,Good,6,3000000,Charging,-22,4330067,Cool,Li-ion,0,1,-22,1,
1970-03-21-12:59:11.438954,128,500000,0,0,0,270,4389899,-111865,164306,3039000,79589,0,1,3039000,100,4400000,0,2363320,4356452,4346424,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),409799,0,5000000,5000000,4921875,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,1,0,812,1,0,0,0,0,373,1,108886,0,0,Normal,Fast,100,Good,6,3000000,Charging,-22,4344959,Cool,Li-ion,0,1,-22,1,
1970-03-21-12:59:12.527633,129,500000,0,0,0,270,4389899,-111911,164306,3039000,108886,0,1,3039000,100,4400000,0,2363274,4356452,4344959,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),409799,0,5000000,5000000,4921875,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,1,0,812,1,0,0,0,0,373,1,108886,0,0,Normal,Fast,100,Good,6,3000000,Charging,-22,4344959,Cool,Li-ion,0,1,-22,1,
1970-03-21-12:59:13.129245,130,500000,0,0,0,270,4389899,-111911,164306,3039000,108886,0,1,3039000,100,4400000,0,2363274,4356452,4344959,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),409799,0,5000000,5000000,4921875,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,270,-22,1,0,812,1,0,0,0,0,373,1,-126953,0,0,Normal,Fast,100,Good,6,3000000,Charging,-22,4367908,Cool,Li-ion,0,1,-22,1,
1970-03-21-12:59:47.091604,164,500000,0,0,0,280,4389899,-111855,204589,3039000,-57128,0,1,3039000,100,4400000,0,2363330,4373053,4363514,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),409799,0,5000000,5000000,4960937,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,280,-22,1,0,812,1,0,0,0,0,368,0,-131347,0,0,Normal,Taper,100,Good,6,3000000,Charging,-22,4371326,Cool,Li-ion,0,1,-22,1,
1970-03-21-12:59:54.449537,171,500000,0,0,0,280,4389899,-111436,204589,3039000,-192870,0,1,3039000,100,4400000,0,2363749,4373053,4379383,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,125000,0,-22,125000,500000,dual power role,0,Source attached (default current),271665,0,5000000,5000000,4921875,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,280,-22,1,0,812,1,0,0,0,0,359,1,171874,0,0,Normal,Fast,100,Good,6,3000000,Charging,-22,4342029,Cool,Li-ion,0,1,-22,1,
1970-03-21-12:59:55.073552,172,500000,0,0,0,280,4389899,-111508,160156,3039000,171874,0,1,3039000,100,4400000,0,2363677,4356940,4342029,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),414404,0,5000000,5000000,4921875,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,280,-22,1,0,812,1,0,0,0,0,359,1,171874,0,0,Normal,Fast,100,Good,6,3000000,Charging,-22,4342029,Cool,Li-ion,0,1,-22,1,
1970-03-21-12:59:57.984693,175,500000,0,0,0,280,4389899,-111429,202636,3039000,-131347,0,1,3039000,100,4400000,0,2363756,4373053,4373035,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),409799,0,5000000,5000000,4921875,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,280,-22,1,0,812,1,0,0,0,0,355,1,-131347,0,0,Normal,Fast,100,Good,6,3000000,Charging,-22,4373035,Cool,Li-ion,0,1,-22,1,
1970-03-21-12:59:59.424896,176,500000,0,0,0,280,4389899,-111337,202636,3039000,-220703,0,1,3039000,100,4400000,0,2363848,4373053,4382801,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),409799,0,5000000,5000000,4941406,1,1,1,0,-22,0,1,0,500000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,280,-22,1,0,812,1,0,0,0,0,355,1,-220703,0,0,Normal,Taper,100,Good,6,3000000,Charging,-22,4382801,Cool,Li-ion,0,1,-22,1,
1970-03-21-13:00:02.796564,180,500000,0,0,0,280,4389899,-111172,202636,3039000,-188964,0,1,3039000,100,4400000,0,2364013,4373053,4380359,2775154_lenovo_hx40sunwoda_3000mah_averaged_masterslave_feb3rd2017,1,0,58348,245000,1,USB,0,500000,0,-22,500000,500000,dual power role,0,Source attached (default current),414404,0,5000000,5000000,5058593,1,1,1,0,-22,0,1,0,275000,500000,5000000,2000000,4395000,500000,0,0,0,500000,0,0,0,100,280,-22,1,0,812,1,0,0,0,0,355,0,161132,0,0,Normal,Fast,100,Good,6,3000000,Charging,-22,4339832,Cool,Li-ion,0,1,-22,1,
